Report,Geography,Segment,Variety,Type,Data Year,Timeframe,PLU,Period,Prior Year Week Ending,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance,Dollar Sales Velocity Prior Year,Dollar Sales Velocity Current Year,Dollar Sales Velocity Variance
Category,Cincinnati/Dayton,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,1692717.913,3301785.734,0.950582379,1301389.841,3164445.05,1.431588867,0.768816725,0.95840412,0.246596346,101.6551032,233.7171822,1.29911903
Category,Columbus,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,4093129.86,4035173.285,-0.014159476,3721211.143,4573184.439,0.228950539,0.909135862,1.133330372,0.246601767,393.9957878,463.6941986,0.176901411
Category,Columbus,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,4093129.86,4035173.285,-0.014159476,3721211.143,4573184.439,0.228950539,0.909135862,1.133330372,0.246601767,393.9957878,463.6941986,0.176901411
Category,Columbus,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,1589174.36,426611.5798,-0.731551433,1602722.374,706261.1915,-0.559336537,1.00852519,1.655513411,0.641519147,176.8678915,76.4165658,-0.567945515
Category,Columbus,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,6279.342962,9220.901233,0.46845001,7284.899273,10058.26946,0.380701241,1.160137186,1.090811973,-0.059756048,0.950562743,0.924886458,-0.027011668
Category,Columbus,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,678034.717,640650.4473,-0.055136218,588526.6746,781657.3127,0.328159532,0.867988998,1.220099535,0.405662442,72.52351783,86.40425121,0.191396306
Category,Columbus,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,3910147.143,3855191.043,-0.01405474,3458495.103,4278685.917,0.237152516,0.884492316,1.109850554,0.254788238,365.7460133,433.5890811,0.185492296
Category,Columbus,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,21218.67318,18953.85172,-0.106737186,41189.93727,40733.60953,-0.011078622,1.94121173,2.149094028,0.107088936,5.405239633,5.099385839,-0.056584687
Category,Columbus,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,66830.48748,53780.23368,-0.195273958,118549.4942,111949.8429,-0.055670008,1.773883427,2.081616892,0.173480095,18.56594011,16.37075298,-0.118237327
Category,Columbus,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,94933.55682,107248.157,0.129718095,102976.6094,141815.07,0.377158083,1.084722967,1.322307758,0.219028083,18.93265127,20.67545354,0.092052732
