Report,Geography,Segment,Variety,Timeframe,Period,PLU,Prior Year Week Ending,Current Year Week Ending,Units Current Year,Unit Variance,Dollars Current Year,Dollar Variance,Unit Share Current Year,Dollar Share Current Year
Category,Total U.S.,Avocados,Hass,Last 04 Wks,10,4046,2023/10/08,2024/10/06,90948786.58,0.091727686,99743599.02,0.270959747,0.489083622,0.421111517
Category,Total U.S.,Avocados,Hass,Last 04 Wks,10,4225,2023/10/08,2024/10/06,26275705.53,0.063191799,49039067.58,0.240429498,0.141299491,0.207040014
Category,Total U.S.,Avocados,Hass,Last 04 Wks,10,4770,2023/10/08,2024/10/06,2706446.74,-0.257068928,7854093.654,-0.006262376,0.014554111,0.033159514
Category,Total U.S.,Avocados,Other,Last 04 Wks,10,All Other,2023/10/08,2024/10/06,3175420.48,0.062812189,7851889.818,0.101171088,0.017076051,0.03315021
Category,Total U.S.,Avocados,All,Last 04 Wks,10,Organic,2023/10/08,2024/10/06,9636462.361,0.137513188,16523668.47,0.277070852,0.051820767,0.069761941
Category,Total U.S.,Avocados,All,Last 04 Wks,10,Bags,2023/10/08,2024/10/06,53214716.87,0.119155508,55845603.76,0.385906583,0.286165956,0.235776803
Category,Total U.S.,Avocados,Hass,Last 04 Wks,11,4046,2023/11/05,2024/11/03,89421868.4,0.088699817,93767184.92,0.221820799,0.490466824,0.418693985
Category,Total U.S.,Avocados,Hass,Last 04 Wks,11,4225,2023/11/05,2024/11/03,26249823.02,0.106268084,46731081.03,0.252074475,0.14397672,0.208665991
Category,Total U.S.,Avocados,Hass,Last 04 Wks,11,4770,2023/11/05,2024/11/03,2611373.275,-0.156891172,7443922.278,-0.014037842,0.014323028,0.033238979
Category,Total U.S.,Avocados,Other,Last 04 Wks,11,All Other,2023/11/05,2024/11/03,3083463.324,0.0126075,7960369.175,0.152999101,0.016912378,0.035545044
Category,Total U.S.,Avocados,All,Last 04 Wks,11,Organic,2023/11/05,2024/11/03,9368044.181,0.063068095,16004129.22,0.221111693,0.051382452,0.071462449
Category,Total U.S.,Avocados,All,Last 04 Wks,11,Bags,2023/11/05,2024/11/03,51585340.36,0.082313626,52044906.44,0.247725777,0.282938598,0.232393553
Category,Total U.S.,Avocados,Hass,Last 04 Wks,12,4046,2023/12/03,2024/12/01,86118283.03,0.152664599,87978375.62,0.277528685,0.499625105,0.422778401
Category,Total U.S.,Avocados,Hass,Last 04 Wks,12,4225,2023/12/03,2024/12/01,21723353.39,-0.140848372,40469303.88,0.037462003,0.126030529,0.194474465
Category,Total U.S.,Avocados,Hass,Last 04 Wks,12,4770,2023/12/03,2024/12/01,2027348.817,-0.209302718,6194151.175,-0.020227981,0.011761897,0.029765875
Category,Total U.S.,Avocados,Other,Last 04 Wks,12,All Other,2023/12/03,2024/12/01,3667618.667,0.03981797,8416657.932,0.086730552,0.021278111,0.040446089
Category,Total U.S.,Avocados,All,Last 04 Wks,12,Organic,2023/12/03,2024/12/01,9432542.605,0.072970155,15711207.31,0.231135694,0.054723979,0.075499906
Category,Total U.S.,Avocados,All,Last 04 Wks,12,Bags,2023/12/03,2024/12/01,49396657.62,0.112200793,49326023.96,0.30190078,0.28658038,0.237035264
Category,Total U.S.,Avocados,Hass,Last 04 Wks,13,4046,2023/12/31,2024/12/29,88679786.5,0.093758866,88116002.87,0.277124898,0.506483551,0.425089239
Category,Total U.S.,Avocados,Hass,Last 04 Wks,13,4225,2023/12/31,2024/12/29,22304577.49,-0.298324428,40723030.41,-0.086193055,0.127389815,0.196456051
Category,Total U.S.,Avocados,Hass,Last 04 Wks,13,4770,2023/12/31,2024/12/29,2330331.626,-0.102010546,6820288.753,0.109946767,0.013309399,0.032902438
Category,Total U.S.,Avocados,Other,Last 04 Wks,13,All Other,2023/12/31,2024/12/29,3721148.245,0.124342663,8549546.257,0.17532375,0.021252875,0.041244723
Category,Total U.S.,Avocados,All,Last 04 Wks,13,Organic,2023/12/31,2024/12/29,9346594.233,0.015398907,15100313.91,0.199713213,0.053381908,0.072846937
Category,Total U.S.,Avocados,All,Last 04 Wks,13,Bags,2023/12/31,2024/12/29,48706735.56,0.091770792,47979064.3,0.303096964,0.278182451,0.231460612
